year,proc,index_cnt,deaths,failures,viable,run
2025,savr,2193.0,1809.1,1142.65,549.75,9.5
2025,tavi,2073.0,529.8,405.8,324.2,9.5
2026,savr,2259.0,1885.05,1270.25,562.25,9.5
2026,tavi,2182.0,656.45,527.8,407.45,9.5
2027,savr,2324.0,1945.8,1390.65,576.9,9.5
2027,tavi,2291.0,799.9,663.25,492.45,9.5
2028,savr,2390.0,1964.9,1512.9,595.75,9.5
2028,tavi,2401.0,939.25,790.35,558.7,9.5
2029,savr,2455.0,1998.25,1619.45,604.25,9.5
2029,tavi,2510.0,1070.55,948.6,646.35,9.5
2030,savr,2521.0,2033.75,1709.55,616.35,9.5
2030,tavi,2620.0,1200.6,1104.2,729.35,9.5
2031,savr,2564.0,2049.95,1801.7,617.7,9.5
2031,tavi,2782.0,1314.0,1272.35,817.75,9.5
2032,savr,2607.0,2101.6,1846.95,622.7,9.5
2032,tavi,2944.0,1413.75,1443.4,897.75,9.5
2033,savr,2651.0,2154.45,1949.85,635.5,9.5
2033,tavi,3106.0,1507.9,1642.35,988.35,9.5
2034,savr,2694.0,2193.75,2001.05,657.75,9.5
2034,tavi,3267.0,1621.7,1800.85,1078.15,9.5
2035,savr,2737.0,2234.6,2044.65,656.75,9.5
2035,tavi,3429.0,1766.4,2007.25,1197.1,9.5
